Country,Population,GDP,Life_expectancy,Region,Year,Year_num
Afghanistan,5021241,4292539162,27.2,Asia & Pacific,01/01/1900 0:00:00,1900
Albania,819950,1106309599,35.4,Europe,01/01/1900 0:00:00,1900
Algeria,4946166,17398870335,28.9,Arab States,01/01/1900 0:00:00,1900
Angola,2898155,2779799699,27,Africa,01/01/1900 0:00:00,1900
Antigua and Barbuda,34925,46010213,33.5,South/Latin America,01/01/1900 0:00:00,1900
Argentina,4756635,17464739456,36.8,South/Latin America,01/01/1900 0:00:00,1900
Armenia,855313,788235792,35.9,CIS,01/01/1900 0:00:00,1900
Aruba,29311,43506588,34.4,South/Latin America,01/01/1900 0:00:00,1900
Australia,3743708,23971633337,49.9,Asia & Pacific,01/01/1900 0:00:00,1900
Austria,5979725,30501064067,41.5,Europe,01/01/1900 0:00:00,1900
Azerbaijan,1825639,2891995668,31.1,CIS,01/01/1900 0:00:00,1900
Bahamas,53102,136475520,35.2,South/Latin America,01/01/1900 0:00:00,1900
Bahrain,76158,164280277,30.3,Arab States,01/01/1900 0:00:00,1900
Bangladesh,29230699,26433750617,21.8,Asia & Pacific,01/01/1900 0:00:00,1900
Barbados,191121,317004768,32.1,South/Latin America,01/01/1900 0:00:00,1900
Belarus,4917314,6247401192,36.2,CIS,01/01/1900 0:00:00,1900
Belgium,6761724,36229171101,46.6,Europe,01/01/1900 0:00:00,1900
Belize,36114,37657656,26.5,South/Latin America,01/01/1900 0:00:00,1900
Benin,1390018,1266842991,31,Africa,01/01/1900 0:00:00,1900
Bhutan,136235,102149823,28.8,Asia & Pacific,01/01/1900 0:00:00,1900
Bolivia,1826432,3211617133,33,South/Latin America,01/01/1900 0:00:00,1900
Bosnia and Herzegovina,1712007,1247725624,35.1,Europe,01/01/1900 0:00:00,1900
Botswana,122551,73206339,33.6,Africa,01/01/1900 0:00:00,1900
Brazil,18103489,14244370540,32,South/Latin America,01/01/1900 0:00:00,1900
Bulgaria,3992259,8552072556,40.2,Europe,01/01/1900 0:00:00,1900
Burkina Faso,2977810,1625870058,29.2,Africa,01/01/1900 0:00:00,1900
Burundi,1589452,793639868,31.5,Africa,01/01/1900 0:00:00,1900
Cambodia,2859326,2739741179,35,Asia & Pacific,01/01/1900 0:00:00,1900
Cameroon,2360984,2166254546,28.8,Africa,01/01/1900 0:00:00,1900
Canada,5530806,26049372008,48.3,North America,01/01/1900 0:00:00,1900
Cape Verde,113570,88126481,33.8,Africa,01/01/1900 0:00:00,1900
Chad,1471357,916337611,30.9,Africa,01/01/1900 0:00:00,1900
Chile,2981489,8993517676,32,South/Latin America,01/01/1900 0:00:00,1900
China,395184556,318705187654,32,Asia & Pacific,01/01/1900 0:00:00,1900
Colombia,4109030,3692133594,32,South/Latin America,01/01/1900 0:00:00,1900
Comoros,105128,90973418,32.1,Arab States,01/01/1900 0:00:00,1900
Costa Rica,297910,582340977,34.7,South/Latin America,01/01/1900 0:00:00,1900
Croatia,2483124,7157474306,36.1,Europe,01/01/1900 0:00:00,1900
Cuba,1762227,9234849792,33.1,South/Latin America,01/01/1900 0:00:00,1900
Cyprus,235257,551932065,41.8,Europe,01/01/1900 0:00:00,1900
Denmark,2557581,11862644250,52,Europe,01/01/1900 0:00:00,1900
Djibouti,42078,39391817,29.9,Arab States,01/01/1900 0:00:00,1900
Ecuador,1455093,3134186195,32.9,South/Latin America,01/01/1900 0:00:00,1900
Egypt,10065298,23339428895,33,Arab States,01/01/1900 0:00:00,1900
El Salvador,774733,1519255888,28.7,South/Latin America,01/01/1900 0:00:00,1900
Equatorial Guinea,105183,47164500,29.8,Africa,01/01/1900 0:00:00,1900
Eritrea,589732,400103450,30.2,Africa,01/01/1900 0:00:00,1900
Estonia,695838,1436213854,43.1,Europe,01/01/1900 0:00:00,1900
Ethiopia,8993179,4997274272,29.7,Africa,01/01/1900 0:00:00,1900
Fiji,121907,132276237,26.1,Asia & Pacific,01/01/1900 0:00:00,1900
Finland,2633389,7374703440,41.8,Europe,01/01/1900 0:00:00,1900
France,40628638,201845829191,45.1,Europe,01/01/1900 0:00:00,1900
French Guiana,17620,24576406,30.5,South/Latin America,01/01/1900 0:00:00,1900
French Polynesia,30686,31470204,25.6,Asia & Pacific,01/01/1900 0:00:00,1900
Gabon,311589,126607590,30.6,Africa,01/01/1900 0:00:00,1900
Gambia,187273,166563500,28.8,Africa,01/01/1900 0:00:00,1900
Georgia,2227930,2320740248,33.8,CIS,01/01/1900 0:00:00,1900
Germany,55293434,307985880843,43.9,Europe,01/01/1900 0:00:00,1900
Ghana,1891249,1667703211,28,Africa,01/01/1900 0:00:00,1900
Greece,4882706,11804155947,40,Europe,01/01/1900 0:00:00,1900
Greenland,16375,17316273,36.5,Europe,01/01/1900 0:00:00,1900
Grenada,61605,90837642,37.3,South/Latin America,01/01/1900 0:00:00,1900
Guadeloupe,145156,187377816,27.7,South/Latin America,01/01/1900 0:00:00,1900
Guatemala,1401387,2355608246,25.8,South/Latin America,01/01/1900 0:00:00,1900
Guinea,1988972,1098075457,30.5,Africa,01/01/1900 0:00:00,1900
Guinea-Bissau,379807,280957325,32,Africa,01/01/1900 0:00:00,1900
Guyana,285691,623525556,31.1,South/Latin America,01/01/1900 0:00:00,1900
Haiti,1584083,2279816990,29,South/Latin America,01/01/1900 0:00:00,1900
Honduras,515578,973970042,33.9,South/Latin America,01/01/1900 0:00:00,1900
Hungary,7115393,29583245152,37.3,Europe,01/01/1900 0:00:00,1900
Iceland,102913,241403417,46.6,Europe,01/01/1900 0:00:00,1900
India,243073946,194758896272,18.4,Asia & Pacific,01/01/1900 0:00:00,1900
Indonesia,38159334,50317267653,30,Asia & Pacific,01/01/1900 0:00:00,1900
Iraq,2238359,3742320841,31.2,Arab States,01/01/1900 0:00:00,1900
Ireland,3163836,13170747531,49.1,Europe,01/01/1900 0:00:00,1900
Israel,359084,569101607,32,Europe,01/01/1900 0:00:00,1900
Italy,33736335,91468820449,41.7,Europe,01/01/1900 0:00:00,1900
Jamaica,719180,988388206,37.8,South/Latin America,01/01/1900 0:00:00,1900
Japan,44040263,108408475439,38.6,Asia & Pacific,01/01/1900 0:00:00,1900
Jordan,311990,563156206,31.7,Arab States,01/01/1900 0:00:00,1900
Kazakhstan,4234119,10827249994,28.1,CIS,01/01/1900 0:00:00,1900
Kenya,2629262,2496780000,25.5,Africa,01/01/1900 0:00:00,1900
Kiribati,26948,14080728,24.9,Asia & Pacific,01/01/1900 0:00:00,1900
Kuwait,94474,203769077,26,Arab States,01/01/1900 0:00:00,1900
Latvia,1233746,2118071692,46.2,Europe,01/01/1900 0:00:00,1900
Lebanon,558481,1372717647,29.7,Arab States,01/01/1900 0:00:00,1900
Lesotho,503398,220625017,32.8,Africa,01/01/1900 0:00:00,1900
Liberia,612987,620990858,31.1,Africa,01/01/1900 0:00:00,1900
Libya,851032,2602013609,33.1,Arab States,01/01/1900 0:00:00,1900
Lithuania,1626629,4631537008,41.7,Europe,01/01/1900 0:00:00,1900
Luxembourg,213965,818252275,47.5,Europe,01/01/1900 0:00:00,1900
Madagascar,2894356,2550324439,30.5,Africa,01/01/1900 0:00:00,1900
Malawi,780171,271105580,30.3,Africa,01/01/1900 0:00:00,1900
Malaysia,2204405,3257671414,30.6,Asia & Pacific,01/01/1900 0:00:00,1900
Maldives,63982,58451226,32.6,Asia & Pacific,01/01/1900 0:00:00,1900
Mali,2961059,1890581750,26.4,Africa,01/01/1900 0:00:00,1900
Malta,225706,383530949,41.9,Europe,01/01/1900 0:00:00,1900
Martinique,152696,244294378,30.1,South/Latin America,01/01/1900 0:00:00,1900
Mauritania,533349,445169406,32,Arab States,01/01/1900 0:00:00,1900
Mauritius,370835,533618601,26.3,Africa,01/01/1900 0:00:00,1900
Mexico,13662640,31336016805,27.6,South/Latin America,01/01/1900 0:00:00,1900
Mongolia,704557,935937889,31.8,Asia & Pacific,01/01/1900 0:00:00,1900
Montenegro,254700,591579525,35.4,Europe,01/01/1900 0:00:00,1900
Morocco,4667602,5400281537,33.1,Arab States,01/01/1900 0:00:00,1900
Mozambique,4115592,1703442187,30.3,Africa,01/01/1900 0:00:00,1900
Myanmar,10178295,15892708664,30.8,Asia & Pacific,01/01/1900 0:00:00,1900
Namibia,231994,431756476,32.4,Africa,01/01/1900 0:00:00,1900
Nepal,5419483,4583612693,32.8,Asia & Pacific,01/01/1900 0:00:00,1900
Netherlands,5153030,22438715161,48.4,Europe,01/01/1900 0:00:00,1900
New Caledonia,48027,58555909,26,Asia & Pacific,01/01/1900 0:00:00,1900
New Zealand,815519,5986194415,47.4,Asia & Pacific,01/01/1900 0:00:00,1900
Nicaragua,571352,1298852472,25.4,South/Latin America,01/01/1900 0:00:00,1900
Niger,1938530,1293343624,30.8,Africa,01/01/1900 0:00:00,1900
Nigeria,17111076,22519749954,30.4,Africa,01/01/1900 0:00:00,1900
Norway,2214923,7901415118,53.5,Europe,01/01/1900 0:00:00,1900
Oman,417606,1063028670,32.3,Arab States,01/01/1900 0:00:00,1900
Pakistan,18819218,22523960536,21.1,Asia & Pacific,01/01/1900 0:00:00,1900
Panama,266472,537262904,32.9,South/Latin America,01/01/1900 0:00:00,1900
Papua New Guinea,1246120,929912251,31.5,Asia & Pacific,01/01/1900 0:00:00,1900
Paraguay,457181,1075090391,35.5,South/Latin America,01/01/1900 0:00:00,1900
Peru,3680342,4712338559,35.7,South/Latin America,01/01/1900 0:00:00,1900
Philippines,6480589,7471066071,30.9,Asia & Pacific,01/01/1900 0:00:00,1900
Poland,24700965,74819267187,40.4,Europe,01/01/1900 0:00:00,1900
Portugal,5426480,12798991569,35.6,Europe,01/01/1900 0:00:00,1900
Puerto Rico,968439,2078661338,32.6,South/Latin America,01/01/1900 0:00:00,1900
Qatar,16290,23687035,30.8,Arab States,01/01/1900 0:00:00,1900
Reunion,168416,171051337,33,Asia & Pacific,01/01/1900 0:00:00,1900
Romania,10978549,57105299106,35.7,Europe,01/01/1900 0:00:00,1900
Rwanda,1576436,765753615,25,Africa,01/01/1900 0:00:00,1900
Samoa,34310,53893783,25.4,Asia & Pacific,01/01/1900 0:00:00,1900
Sao Tome and Principe,41544,43841402,31,Africa,01/01/1900 0:00:00,1900
Saudi Arabia,2556758,3550496120,32.1,Arab States,01/01/1900 0:00:00,1900
Senegal,1754554,1314263948,25.2,Africa,01/01/1900 0:00:00,1900
Serbia,4331770,11943360467,35.5,Europe,01/01/1900 0:00:00,1900
Seychelles,18738,23104894,44.9,Africa,01/01/1900 0:00:00,1900
Sierra Leone,1380588,1530486937,25.1,Africa,01/01/1900 0:00:00,1900
Singapore,215875,683715607,34,Asia & Pacific,01/01/1900 0:00:00,1900
Slovenia,949547,2848552340,36.6,Europe,01/01/1900 0:00:00,1900
Solomon Islands,71961,40810759,25.1,Asia & Pacific,01/01/1900 0:00:00,1900
Somalia,1647387,1308910688,29.4,Arab States,01/01/1900 0:00:00,1900
South Africa,4721134,6885160317,33.5,Africa,01/01/1900 0:00:00,1900
Spain,18652446,58710660793,34.8,Europe,01/01/1900 0:00:00,1900
Sri Lanka,3980125,6888849047,32.6,Asia & Pacific,01/01/1900 0:00:00,1900
Sudan,4888158,4413030190,31.4,Arab States,01/01/1900 0:00:00,1900
Suriname,146519,424461330,32.9,South/Latin America,01/01/1900 0:00:00,1900
Swaziland,87753,61683639,32.3,Africa,01/01/1900 0:00:00,1900
Sweden,5111095,18481790230,52.3,Europe,01/01/1900 0:00:00,1900
Switzerland,3297232,26450293061,47.5,Europe,01/01/1900 0:00:00,1900
Tajikistan,965052,1113150774,26.1,CIS,01/01/1900 0:00:00,1900
Thailand,7482398,8274189911,30.4,Asia & Pacific,01/01/1900 0:00:00,1900
Timor-Leste,330692,209074164,28.9,Asia & Pacific,01/01/1900 0:00:00,1900
Togo,897249,922262066,31.3,Africa,01/01/1900 0:00:00,1900
Tonga,20512,18078035,28.2,Asia & Pacific,01/01/1900 0:00:00,1900
Trinidad and Tobago,270873,529085680,38.8,South/Latin America,01/01/1900 0:00:00,1900
Tunisia,1651653,2175101710,28.8,Arab States,01/01/1900 0:00:00,1900
Turkey,13946634,39366203978,35,Europe,01/01/1900 0:00:00,1900
Turkmenistan,764619,1615381567,24.4,CIS,01/01/1900 0:00:00,1900
Uganda,2734806,1945499298,25.3,Africa,01/01/1900 0:00:00,1900
Ukraine,23471939,40131605407,36.6,CIS,01/01/1900 0:00:00,1900
United Arab Emirates,47854,114070627,30.7,Arab States,01/01/1900 0:00:00,1900
United Kingdom,37995759,252737027015,46.3,Europe,01/01/1900 0:00:00,1900
United States,77415610,505356316299,48.9,North America,01/01/1900 0:00:00,1900
Uruguay,904637,3187263599,32.9,South/Latin America,01/01/1900 0:00:00,1900
Uzbekistan,4279608,3381334971,28.8,CIS,01/01/1900 0:00:00,1900
Vanuatu,38544,30719634,24.3,Asia & Pacific,01/01/1900 0:00:00,1900
Venezuela,2695884,3028889815,32.2,South/Latin America,01/01/1900 0:00:00,1900
Vietnam,14597795,14559495638,32,Asia & Pacific,01/01/1900 0:00:00,1900
Zambia,743191,529470760,32.6,Africa,01/01/1900 0:00:00,1900
Zimbabwe,1911595,1581178225,33.7,Africa,01/01/1900 0:00:00,1900
South Sudan,1919153,1188149860,26.7,Africa,01/01/1900 0:00:00,1900
Afghanistan,5351413,4764471702,27.1,Asia & Pacific,01/01/1910 0:00:00,1910
Albania,901122,1376830559,35.4,Europe,01/01/1910 0:00:00,1910
Algeria,5404045,21262219828,30.8,Arab States,01/01/1910 0:00:00,1910
Angola,3136718,3118232656,27,Africa,01/01/1910 0:00:00,1910
Antigua and Barbuda,32119,45083481,33.5,South/Latin America,01/01/1910 0:00:00,1910
Argentina,6852668,35949414097,43.5,South/Latin America,01/01/1910 0:00:00,1910
Armenia,936124,952257379,38.4,CIS,01/01/1910 0:00:00,1910
Aruba,30881,48964216,34.4,South/Latin America,01/01/1910 0:00:00,1910
Australia,4408209,36391730295,55.2,Asia & Pacific,01/01/1910 0:00:00,1910
Austria,6608155,39408891497,44.5,Europe,01/01/1910 0:00:00,1910
Azerbaijan,1998690,3540967429,33.6,CIS,01/01/1910 0:00:00,1910
Bahamas,55829,152400960,35.2,South/Latin America,01/01/1910 0:00:00,1910
Bahrain,80495,184050692,30.3,Arab States,01/01/1910 0:00:00,1910
Bangladesh,30936532,32581203313,22.2,Asia & Pacific,01/01/1910 0:00:00,1910
Barbados,174352,303106000,32.1,South/Latin America,01/01/1910 0:00:00,1910
Belarus,5390481,7670969274,42.3,CIS,01/01/1910 0:00:00,1910
Belgium,7492872,44071901058,51.4,Europe,01/01/1910 0:00:00,1910
Belize,39793,43914719,26.5,South/Latin America,01/01/1910 0:00:00,1910
Benin,1532133,1463179247,31,Africa,01/01/1910 0:00:00,1910
Bhutan,143766,109160806,28.8,Asia & Pacific,01/01/1910 0:00:00,1910
Bolivia,1993676,3818372848,33,South/Latin America,01/01/1910 0:00:00,1910
Bosnia and Herzegovina,1866966,1595926461,35.1,Europe,01/01/1910 0:00:00,1910
Botswana,126674,78881268,33.6,Africa,01/01/1910 0:00:00,1910
Brazil,22414074,21766253322,32,South/Latin America,01/01/1910 0:00:00,1910
Bulgaria,4531387,11504740288,43.7,Europe,01/01/1910 0:00:00,1910
Burkina Faso,3201227,1765574588,29.2,Africa,01/01/1910 0:00:00,1910
Burundi,1699545,864121998,31.5,Africa,01/01/1910 0:00:00,1910
Cambodia,3051759,3009735512,35,Asia & Pacific,01/01/1910 0:00:00,1910
Cameroon,2432509,2338378480,28.8,Africa,01/01/1910 0:00:00,1910
Canada,7181200,47919394222,52.1,North America,01/01/1910 0:00:00,1910
Cape Verde,124067,100406041,33.8,Africa,01/01/1910 0:00:00,1910
Chad,1479229,960223638,30.9,Africa,01/01/1910 0:00:00,1910
Chile,3347597,13786294738,31.3,South/Latin America,01/01/1910 0:00:00,1910
China,417830774,373076802976,32,Asia & Pacific,01/01/1910 0:00:00,1910
Colombia,5019920,5338791307,32,South/Latin America,01/01/1910 0:00:00,1910
Comoros,113579,99261030,32.1,Arab States,01/01/1910 0:00:00,1910
Costa Rica,359202,794706223,35.1,South/Latin America,01/01/1910 0:00:00,1910
Croatia,2710758,9157464248,36.1,Europe,01/01/1910 0:00:00,1910
Cuba,2268558,13932803848,35.2,South/Latin America,01/01/1910 0:00:00,1910
Cyprus,270836,715704313,46.2,Europe,01/01/1910 0:00:00,1910
Denmark,2880479,16614748188,58.1,Europe,01/01/1910 0:00:00,1910
Djibouti,45389,43837676,29.9,Arab States,01/01/1910 0:00:00,1910
Ecuador,1682404,3853082044,32.9,South/Latin America,01/01/1910 0:00:00,1910
Egypt,11359618,28594286314,33,Arab States,01/01/1910 0:00:00,1910
El Salvador,947617,2037481562,28.7,South/Latin America,01/01/1910 0:00:00,1910
Equatorial Guinea,108802,50416917,29.8,Africa,01/01/1910 0:00:00,1910
Eritrea,672417,467680110,30.2,Africa,01/01/1910 0:00:00,1910
Estonia,762326,1775272080,47,Europe,01/01/1910 0:00:00,1910
Ethiopia,10317724,5765227957,29.7,Africa,01/01/1910 0:00:00,1910
Fiji,137826,156968740,26.1,Asia & Pacific,01/01/1910 0:00:00,1910
Finland,2930441,9327772513,48.5,Europe,01/01/1910 0:00:00,1910
France,41294572,220452344959,51.4,Europe,01/01/1910 0:00:00,1910
French Guiana,18924,28229499,30.5,South/Latin America,01/01/1910 0:00:00,1910
French Polynesia,31912,34868355,25.6,Asia & Pacific,01/01/1910 0:00:00,1910
Gabon,339240,143217376,30.6,Africa,01/01/1910 0:00:00,1910
Gambia,201692,182471551,28.8,Africa,01/01/1910 0:00:00,1910
Georgia,2439935,2823908079,36.3,CIS,01/01/1910 0:00:00,1910
Germany,64064129,399391047234,48.4,Europe,01/01/1910 0:00:00,1910
Ghana,2007947,2323282080,28,Africa,01/01/1910 0:00:00,1910
Greece,5241874,14356473550,42,Europe,01/01/1910 0:00:00,1910
Greenland,17501,20815337,35,Europe,01/01/1910 0:00:00,1910
Grenada,66816,101767802,37.3,South/Latin America,01/01/1910 0:00:00,1910
Guadeloupe,156142,215407203,27.7,South/Latin America,01/01/1910 0:00:00,1910
Guatemala,1552284,2828118155,25.8,South/Latin America,01/01/1910 0:00:00,1910
Guinea,2170846,1222171696,30.6,Africa,01/01/1910 0:00:00,1910
Guinea-Bissau,407622,302280177,32,Africa,01/01/1910 0:00:00,1910
Guyana,305477,713468789,31.1,South/Latin America,01/01/1910 0:00:00,1910
Haiti,1827086,2922522379,29,South/Latin America,01/01/1910 0:00:00,1910
Honduras,626739,1367893218,33.9,South/Latin America,01/01/1910 0:00:00,1910
Hungary,7638063,37727890043,39.8,Europe,01/01/1910 0:00:00,1910
Iceland,109714,329391087,52.7,Europe,01/01/1910 0:00:00,1910
India,253761202,235638651185,23.2,Asia & Pacific,01/01/1910 0:00:00,1910
Indonesia,42771824,62094082741,30,Asia & Pacific,01/01/1910 0:00:00,1910
Iraq,2513104,4543640947,31.2,Arab States,01/01/1910 0:00:00,1910
Ireland,3093322,14291291665,53.4,Europe,01/01/1910 0:00:00,1910
Israel,413270,692239370,32,Europe,01/01/1910 0:00:00,1910
Italy,36529017,123319770808,46.8,Europe,01/01/1910 0:00:00,1910
Jamaica,807550,1142700386,36.7,South/Latin America,01/01/1910 0:00:00,1910
Japan,49314848,187273036211,40,Asia & Pacific,01/01/1910 0:00:00,1910
Jordan,330157,647473111,31.7,Arab States,01/01/1910 0:00:00,1910
Kazakhstan,4635760,13379790213,30.6,CIS,01/01/1910 0:00:00,1910
Kenya,2640315,2714032292,25.5,Africa,01/01/1910 0:00:00,1910
Kiribati,28645,14603435,24.9,Asia & Pacific,01/01/1910 0:00:00,1910
Kuwait,99530,228291928,26,Arab States,01/01/1910 0:00:00,1910
Latvia,1352379,2618411843,49.3,Europe,01/01/1910 0:00:00,1910
Lebanon,593100,1676709991,29.7,Arab States,01/01/1910 0:00:00,1910
Lesotho,542372,238822003,32.8,Africa,01/01/1910 0:00:00,1910
Liberia,667027,691391921,31.1,Africa,01/01/1910 0:00:00,1910
Libya,904788,3021956677,33.1,Arab States,01/01/1910 0:00:00,1910
Lithuania,1783115,5725236120,45.2,Europe,01/01/1910 0:00:00,1910
Luxembourg,228340,981368984,49.7,Europe,01/01/1910 0:00:00,1910
Madagascar,3095828,2861041622,30.5,Africa,01/01/1910 0:00:00,1910
Malawi,979129,347146097,30.3,Africa,01/01/1910 0:00:00,1910
Malaysia,2875649,4422269246,30.6,Asia & Pacific,01/01/1910 0:00:00,1910
Maldives,66938,61802129,32.6,Asia & Pacific,01/01/1910 0:00:00,1910
Mali,3252008,2076537460,26.4,Africa,01/01/1910 0:00:00,1910
Malta,240859,447880784,46.7,Europe,01/01/1910 0:00:00,1910
Martinique,164477,281170733,30.1,South/Latin America,01/01/1910 0:00:00,1910
Mauritania,555862,486302708,32,Arab States,01/01/1910 0:00:00,1910
Mauritius,369399,556462142,28.9,Africa,01/01/1910 0:00:00,1910
Mexico,15115185,42480463451,27.4,South/Latin America,01/01/1910 0:00:00,1910
Mongolia,717536,968702954,31.8,Asia & Pacific,01/01/1910 0:00:00,1910
Montenegro,277715,757118576,35.4,Europe,01/01/1910 0:00:00,1910
Morocco,5007589,6115749731,33.1,Arab States,01/01/1910 0:00:00,1910
Mozambique,4470516,1865162684,30.3,Africa,01/01/1910 0:00:00,1910
Myanmar,12104689,16136840837,30.8,Asia & Pacific,01/01/1910 0:00:00,1910
Namibia,232593,500496902,32.4,Africa,01/01/1910 0:00:00,1910
Nepal,5696204,5174504421,32.8,Asia & Pacific,01/01/1910 0:00:00,1910
Netherlands,5915422,28451624774,55.1,Europe,01/01/1910 0:00:00,1910
New Caledonia,51063,64272964,26,Asia & Pacific,01/01/1910 0:00:00,1910
New Zealand,1044340,9587888055,51.9,Asia & Pacific,01/01/1910 0:00:00,1910
Nicaragua,659199,1668462018,25.4,South/Latin America,01/01/1910 0:00:00,1910
Niger,2052052,1428265984,30.8,Africa,01/01/1910 0:00:00,1910
Nigeria,17872899,24559618843,30.4,Africa,01/01/1910 0:00:00,1910
Norway,2383631,10028335299,58,Europe,01/01/1910 0:00:00,1910
Oman,436152,1177587205,32.3,Arab States,01/01/1910 0:00:00,1910
Pakistan,19813366,27547097168,22.4,Asia & Pacific,01/01/1910 0:00:00,1910
Panama,326165,744283125,32.9,South/Latin America,01/01/1910 0:00:00,1910
Papua New Guinea,1326296,1022830486,31.5,Asia & Pacific,01/01/1910 0:00:00,1910
Paraguay,562257,1531718263,35.5,South/Latin America,01/01/1910 0:00:00,1910
Peru,4174310,7642953586,35.7,South/Latin America,01/01/1910 0:00:00,1910
Philippines,7771116,11801983067,30.9,Asia & Pacific,01/01/1910 0:00:00,1910
Poland,26493422,88619580253,43.5,Europe,01/01/1910 0:00:00,1910
Portugal,5895516,13140928533,35.6,Europe,01/01/1910 0:00:00,1910
Puerto Rico,1130424,2572758759,38.2,South/Latin America,01/01/1910 0:00:00,1910
Qatar,17143,26538218,30.8,Arab States,01/01/1910 0:00:00,1910
Reunion,181279,193337566,33,Asia & Pacific,01/01/1910 0:00:00,1910
Romania,11878502,72268562916,35.7,Europe,01/01/1910 0:00:00,1910
Rwanda,1688211,823700263,31.8,Africa,01/01/1910 0:00:00,1910
Samoa,37850,63763796,25.4,Asia & Pacific,01/01/1910 0:00:00,1910
Sao Tome and Principe,44803,48052102,31,Africa,01/01/1910 0:00:00,1910
Saudi Arabia,2635671,3882742272,32.1,Arab States,01/01/1910 0:00:00,1910
Senegal,1881695,1472799392,25.2,Africa,01/01/1910 0:00:00,1910
Serbia,4726618,15280533097,35.5,Europe,01/01/1910 0:00:00,1910
Seychelles,22522,29000921,47.5,Africa,01/01/1910 0:00:00,1910
Sierra Leone,1480939,1714759286,25.1,Africa,01/01/1910 0:00:00,1910
Singapore,294092,1158528606,34,Asia & Pacific,01/01/1910 0:00:00,1910
Slovenia,1036529,3644583746,36.6,Europe,01/01/1910 0:00:00,1910
Solomon Islands,73224,44155284,25.1,Asia & Pacific,01/01/1910 0:00:00,1910
Somalia,1752623,1405169495,29.4,Arab States,01/01/1910 0:00:00,1910
South Africa,5785887,15194149285,33.5,Africa,01/01/1910 0:00:00,1910
Spain,19910849,66622189653,40.9,Europe,01/01/1910 0:00:00,1910
Sri Lanka,4692399,7695368419,32.9,Asia & Pacific,01/01/1910 0:00:00,1910
Sudan,4908169,4834612241,31.4,Arab States,01/01/1910 0:00:00,1910
Suriname,157730,488842002,32.9,South/Latin America,01/01/1910 0:00:00,1910
Swaziland,106983,79197143,32.3,Africa,01/01/1910 0:00:00,1910
Sweden,5492757,24251728936,57.8,Europe,01/01/1910 0:00:00,1910
Switzerland,3726392,33827685260,52.9,Europe,01/01/1910 0:00:00,1910
Tajikistan,1055995,1364352832,28.6,CIS,01/01/1910 0:00:00,1910
Thailand,8488052,9676697239,30.4,Asia & Pacific,01/01/1910 0:00:00,1910
Timor-Leste,368796,237761579,28.9,Asia & Pacific,01/01/1910 0:00:00,1910
Togo,978586,1055063212,31.3,Africa,01/01/1910 0:00:00,1910
Tonga,22689,21280620,28.2,Asia & Pacific,01/01/1910 0:00:00,1910
Trinidad and Tobago,336841,688834278,38.8,South/Latin America,01/01/1910 0:00:00,1910
Tunisia,1844566,2618093110,28.8,Arab States,01/01/1910 0:00:00,1910
Turkey,14746479,47372129394,35,Europe,01/01/1910 0:00:00,1910
Turkmenistan,837623,1996867244,26.9,CIS,01/01/1910 0:00:00,1910
Uganda,2825381,2107527113,25.3,Africa,01/01/1910 0:00:00,1910
Ukraine,25729036,49641006762,40.6,CIS,01/01/1910 0:00:00,1910
United Arab Emirates,50669,127799537,30.7,Arab States,01/01/1910 0:00:00,1910
United Kingdom,41804912,287897521404,54,Europe,01/01/1910 0:00:00,1910
United States,93559186,744648481870,51.8,North America,01/01/1910 0:00:00,1910
Uruguay,1092482,5322573203,32.9,South/Latin America,01/01/1910 0:00:00,1910
Uzbekistan,4750852,4062141476,31.3,CIS,01/01/1910 0:00:00,1910
Vanuatu,40134,33078264,24.3,Asia & Pacific,01/01/1910 0:00:00,1910
Venezuela,3009466,3604879508,32.2,South/Latin America,01/01/1910 0:00:00,1910
Vietnam,16454275,18251491608,32,Asia & Pacific,01/01/1910 0:00:00,1910
Zambia,805537,587901235,32.6,Africa,01/01/1910 0:00:00,1910
Zimbabwe,2050255,1716253695,33.7,Africa,01/01/1910 0:00:00,1910
South Sudan,2092703,1301655301,26.7,Africa,01/01/1910 0:00:00,1910
Afghanistan,5813814,5427552443,27,Asia & Pacific,01/01/1920 0:00:00,1920
Albania,963956,1616954792,35.4,Europe,01/01/1920 0:00:00,1920
Algeria,6063800,25414081325,27.5,Arab States,01/01/1920 0:00:00,1920
Angola,3387663,4164288773,27,Africa,01/01/1920 0:00:00,1920
Antigua and Barbuda,30000,50943258,33.5,South/Latin America,01/01/1920 0:00:00,1920
Argentina,8884894,41109291007,50.2,South/Latin America,01/01/1920 0:00:00,1920
Armenia,1025070,565542509,28,CIS,01/01/1920 0:00:00,1920
Aruba,32539,62342200,34.4,South/Latin America,01/01/1920 0:00:00,1920
Australia,5345428,40768062183,60.5,Asia & Pacific,01/01/1920 0:00:00,1920
Austria,6459401,28197741330,50.2,Europe,01/01/1920 0:00:00,1920
Azerbaijan,2189291,1639068331,30,CIS,01/01/1920 0:00:00,1920
Bahamas,53436,190131103,35.2,South/Latin America,01/01/1920 0:00:00,1920
Bahrain,87364,211706272,30.3,Arab States,01/01/1920 0:00:00,1920
Bangladesh,32566951,31299388546,23.9,Asia & Pacific,01/01/1920 0:00:00,1920
Barbados,158370,311730166,32.1,South/Latin America,01/01/1920 0:00:00,1920
Belarus,5909582,3560836965,30.4,CIS,01/01/1920 0:00:00,1920
